pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	angular scattering coef at 117° 470 nm [m-1 sr-1]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [µmol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [µmol/kg]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	time [second]
690.0		0.0176	3.917345		683.022						0.0		10.2705	35.446	0		10.3547			99.824									
691.0		0.0171	3.916086		684.014						0.0		10.259	35.4441	0		10.3433			99.8254									
692.0		0.0231	3.913872		684.993						0.0		10.2394	35.4406	0		10.3237			99.8397									
693.0		0.0221	3.913122		685.977						0.0		10.233	35.4387	0		10.3175			99.8492									
694.0		0.0158	3.910702		686.962						0.0		10.211	35.4356	0		10.2955			99.8248									
695.0		0.016	3.909927		687.954						0.0		10.2041	35.4339	0		10.2887			99.824									
696.0		0.0202	3.907915		688.948						0.0		10.186	35.431	0		10.2706			99.8333									
697.0		0.0232	3.906562		689.94						0.0		10.1737	35.4288	0		10.2584			99.8536									
698.0		0.0218	3.905801		690.931						0.0		10.1665	35.4276	0		10.2513			99.8498									
699.0		0.0229	3.905173		691.92						0.0		10.1604	35.4267	0		10.2452			99.8569									
700.0		0.0236	3.905025		692.91						0.0		10.1586	35.4261	0		10.2436			99.8672									
701.0		0.0235	3.90535		693.896						0.0		10.1609	35.4262	0		10.246			99.8454									
702.0		0.0256	3.906812		694.862						0.0		10.173	35.428	0		10.2582			99.8718									
703.0		0.0238	3.906077		695.852						0.0		10.1642	35.4287	0		10.2495			99.8759									
704.0		0.0211	3.906552		696.834						0.0		10.1673	35.4296	0		10.2528			99.8757									
705.0		0.0191	3.906999		697.856						0.0		10.1704	35.4305	0		10.2561			99.8757									
706.0		0.0214	3.907176		698.822						0.0		10.1711	35.431	0		10.2569			99.8733									
707.0		0.021	3.90702		699.808						0.0		10.1693	35.4307	0		10.2552			99.8692									
708.0		0.0184	3.904616		700.827						0.0		10.1489	35.4263	0		10.2348			99.8755									
709.0		0.0174	3.899846		701.818						0.0		10.1056	35.4204	0		10.1914			99.8706									
710.0		0.0201	3.901272		702.793						0.0		10.1179	35.4217	0		10.2039			99.8717									
711.0		0.0177	3.902574		703.76						0.0		10.1291	35.4227	0		10.2153			99.8762									
712.0		0.0179	3.901557		704.752						0.0		10.1192	35.4218	0		10.2054			99.8757									
713.0		0.0191	3.900101		705.744						0.0		10.1046	35.4209	0		10.191			99.8757									
714.0		0.0211	3.900256		706.734						0.0		10.1054	35.4211	0		10.1918			99.8757									
715.0		0.0196	3.900051		707.726						0.0		10.1031	35.4206	0		10.1896			99.8831									
716.0		0.0186	3.899125		708.715						0.0		10.0942	35.4195	0		10.1808			99.8773									
717.0		0.0177	3.898048		709.705						0.0		10.0839	35.4181	0		10.1706			99.8784									
718.0		0.0131	3.896773		710.693						0.0		10.072	35.4164	0		10.1588			99.8802									
719.0		0.0125	3.895989		711.678						0.0		10.0646	35.4151	0		10.1515			99.8922									
720.0		0.0164	3.895326		712.664						0.0		10.0583	35.414	0		10.1452			99.8766									
721.0		0.0211	3.892287		713.65						0.0		10.0314	35.4094	0		10.1183			99.8746									
722.0		0.0223	3.88912		714.639						0.0		10.0024	35.4055	0		10.0892			99.8793									
723.0		0.0183	3.888247		715.633						0.0		9.9941	35.4039	0		10.0811			99.8779									
724.0		0.0173	3.886672		716.624						0.0		9.9793	35.4019	0		10.0664			99.8766									
725.0		0.0171	3.886		717.603						0.0		9.9727	35.4008	0		10.0599			99.8772									
726.0		0.0206	3.885015		718.586						0.0		9.9633	35.3992	0		10.0505			99.8799									
727.0		0.022	3.883241		719.572						0.0		9.9465	35.3972	0		10.0337			99.88									
728.0		0.0195	3.882626		720.565						0.0		9.9405	35.3962	0		10.0278			99.8789									
729.0		0.021	3.883272		721.558						0.0		9.9447	35.3978	0		10.0321			99.8774									
730.0		0.0204	3.88462		722.544						0.0		9.9544	35.4011	0		10.042			99.8812									
731.0		0.0176	3.883162		723.537						0.0		9.9412	35.3989	0		10.0289			99.8685									
732.0		0.0158	3.880917		724.531						0.0		9.9208	35.3956	0		10.0085			99.8755									
733.0		0.0167	3.879254		725.527						0.0		9.905	35.3938	0		9.9928			99.8711									
734.0		0.023	3.883628		726.478						0.0		9.9454	35.3964	0		10.0335			99.8189									
735.0		0.0196	3.878398		727.469						0.0		9.8962	35.3921	0		9.9841			99.8765									
736.0		0.0201	3.87628		728.472						0.0		9.8766	35.3894	0		9.9646			99.8793									
737.0		0.0198	3.875186		729.457						0.0		9.8663	35.3879	0		9.9543			99.8822									
738.0		0.021	3.873999		730.448						0.0		9.8548	35.3867	0		9.9429			99.8777									
739.0		0.0224	3.873524		731.436						0.0		9.8498	35.3861	0		9.938			99.8777									
740.0		0.0204	3.873054		732.439						0.0		9.8449	35.3855	0		9.9332			99.8758									
741.0		0.0196	3.87272		733.431						0.0		9.8406	35.3857	0		9.929			99.8757									
742.0		0.02	3.872951		734.415						0.0		9.8419	35.3858	0		9.9304			99.8775									
743.0		0.0203	3.874216		735.381						0.0		9.8536	35.3859	0		9.9423			99.8775									
744.0		0.0191	3.873004		736.372						0.0		9.8407	35.3857	0		9.9295			99.8757									
745.0		0.0207	3.871505		737.362						0.0		9.8256	35.385	0		9.9144			99.8865									
746.0		0.0198	3.87125		738.355						0.0		9.8218	35.3854	0		9.9107			99.8843									
747.0		0.0175	3.870399		739.346						0.0		9.8135	35.3844	0		9.9025			99.8757									
748.0		0.0193	3.869355		740.329						0.0		9.8034	35.3832	0		9.8924			99.8744									
749.0		0.0191	3.868881		741.317						0.0		9.7988	35.3822	0		9.8879			99.8757									
750.0		0.0188	3.868644		742.308						0.0		9.7961	35.3818	0		9.8853			99.8744									
751.0		0.0206	3.868463		743.301						0.0		9.7936	35.3816	0		9.883			99.8768									
